Date,Open,High,Low,Close,Adj Close,Volume
2022-09-15,242.350006,246.899994,239.899994,245.399994,243.135635,19214950
2022-09-16,246.899994,247.750000,232.649994,236.300003,234.119614,58044047
2022-09-19,237.500000,237.949997,231.899994,232.350006,230.206070,14016637
2022-09-20,235.000000,237.500000,234.149994,235.250000,233.079300,10376536
2022-09-21,235.500000,236.600006,230.350006,231.199997,229.066666,14179308
2022-09-22,229.100006,233.500000,227.449997,231.649994,229.512512,19648230
2022-09-23,231.250000,232.350006,223.550003,224.500000,222.428497,16143866
2022-09-26,222.800003,223.550003,212.500000,215.300003,213.313385,22684799
2022-09-27,217.300003,219.850006,214.449997,217.500000,215.493088,14097631
2022-09-28,215.000000,216.850006,212.750000,213.899994,211.926285,12102060
2022-09-29,216.149994,218.000000,210.500000,212.250000,210.291519,18736174
2022-09-30,212.199997,217.100006,210.250000,216.500000,214.502304,13008102
2022-10-03,216.500000,218.000000,211.800003,213.149994,211.183212,10864491
2022-10-04,216.800003,219.949997,216.199997,219.050003,217.028778,11173725
2022-10-06,221.000000,223.250000,220.250000,221.699997,219.654327,10571565
2022-10-07,221.649994,222.899994,218.750000,222.500000,220.446945,11098716
2022-10-10,220.000000,220.750000,217.100006,220.350006,218.316788,9516511
2022-10-11,220.399994,222.250000,216.500000,217.149994,215.146301,9006207
2022-10-12,218.000000,219.399994,215.050003,217.949997,215.938919,9504518
2022-10-13,217.949997,218.899994,213.500000,216.149994,214.155533,9559072
2022-10-14,220.000000,220.600006,215.500000,215.899994,213.907837,8739363
2022-10-17,215.000000,218.500000,213.850006,217.949997,215.938919,9420098
2022-10-18,219.050003,222.000000,218.649994,220.649994,218.614014,10267276
2022-10-19,221.399994,221.649994,217.550003,218.399994,216.384766,7712123
2022-10-20,217.850006,221.300003,216.100006,220.800003,218.762634,7889548
2022-10-21,221.250000,222.250000,217.550003,218.600006,216.582932,8153053
2022-10-24,221.000000,221.149994,218.300003,219.000000,216.979233,2893840
2022-10-25,219.100006,222.899994,217.649994,220.649994,218.614014,9040336
2022-10-27,221.800003,226.899994,221.100006,225.850006,223.766037,12783887
2022-10-28,227.000000,227.699997,222.550003,225.050003,222.973419,13141721
2022-10-31,228.100006,229.000000,224.199997,226.000000,223.914642,22697530
2022-11-01,226.500000,231.350006,226.500000,230.600006,228.472214,16978101
2022-11-02,230.000000,231.800003,227.800003,229.050003,226.936508,9478217
2022-11-03,228.199997,229.500000,225.750000,227.399994,225.301727,9095013
2022-11-04,227.699997,229.399994,226.750000,228.300003,226.193436,8681681
2022-11-07,228.350006,230.399994,226.899994,229.149994,227.035583,9570452
2022-11-09,230.100006,234.500000,228.850006,231.350006,229.215286,16625632
2022-11-10,231.199997,233.399994,228.500000,229.199997,227.085114,8944902
2022-11-11,232.000000,232.000000,229.199997,229.750000,227.630051,7259679
2022-11-14,230.050003,230.399994,226.800003,227.699997,225.598953,7310857
2022-11-15,228.449997,230.250000,228.000000,229.500000,227.382355,6426117
2022-11-16,229.500000,230.000000,222.250000,224.600006,222.527573,10662953
2022-11-17,224.699997,224.899994,221.000000,221.399994,219.357086,10679502
2022-11-18,222.350006,222.850006,218.699997,220.449997,218.415863,7718744
2022-11-21,220.449997,222.399994,218.399994,221.399994,219.357086,6226956
2022-11-22,221.050003,222.000000,219.050003,220.500000,218.465393,7105721
2022-11-23,221.500000,222.250000,220.500000,220.800003,218.762634,5966239
2022-11-24,221.000000,221.699997,219.600006,220.750000,218.713089,6612342
2022-11-25,221.199997,224.850006,220.350006,224.100006,222.032181,8062766
2022-11-28,224.100006,226.449997,223.300003,224.600006,222.527573,7388645
2022-11-29,225.000000,225.449997,222.899994,223.449997,221.388168,6165404
2022-11-30,223.550003,225.399994,222.649994,224.800003,222.725723,8815900
2022-12-01,225.250000,227.149994,223.600006,224.850006,222.775269,7833074
2022-12-02,225.449997,226.350006,223.850006,225.250000,223.171570,7223274
2022-12-05,225.250000,225.850006,222.350006,224.199997,222.131256,10750610
2022-12-06,224.199997,230.300003,223.500000,228.800003,226.688812,20071039
2022-12-07,228.800003,229.600006,225.399994,225.850006,223.766037,7548312
2022-12-08,226.000000,227.300003,224.800003,225.050003,222.973419,7507975
2022-12-09,225.899994,226.500000,217.500000,219.399994,217.375549,13087278
2022-12-12,219.750000,219.750000,215.699997,217.699997,215.691238,8858525
2022-12-13,218.800003,220.300003,217.800003,218.850006,216.830627,7265105
2022-12-14,219.800003,223.199997,219.399994,222.699997,220.645096,9179593
2022-12-15,222.649994,224.800003,221.050003,221.800003,219.753403,7909066
2022-12-16,221.000000,222.500000,216.050003,217.350006,215.344467,10349382
2022-12-19,218.000000,218.000000,214.899994,216.800003,214.799545,9302368
2022-12-20,216.800003,218.500000,214.600006,217.850006,215.839859,6418826
2022-12-21,218.399994,219.399994,212.500000,213.800003,211.827225,9737819
2022-12-22,214.899994,215.300003,206.550003,208.899994,206.972427,14020296
2022-12-23,206.199997,207.899994,196.000000,196.899994,195.083160,20819266
2022-12-26,197.300003,204.649994,194.600006,203.149994,201.275482,18203352
2022-12-27,206.800003,208.300003,204.800003,207.699997,205.783508,11851262
2022-12-28,207.350006,210.300003,206.800003,208.250000,206.328430,8920331
2022-12-29,208.800003,208.800003,205.000000,205.850006,203.950577,15374707
2022-12-30,207.399994,210.000000,207.000000,207.699997,205.783508,7372810
2023-01-02,208.750000,212.199997,208.199997,211.850006,209.895218,7746971
